Open,High,Low,Close,Volume,Time,Base Value
169.253,169.754,168.885,169.754,15.91152499,2020-10-09T22:00:00,2691.44935263
169.834,169.834,168.784,168.784,56.02058141,2020-10-09T23:00:00,9493.75682604
168.784,168.784,168.784,168.784,0.0,2020-10-10T00:00:00,0.0
168.784,168.784,168.784,168.784,0.0,2020-10-10T01:00:00,0.0
171.383,174.705,171.383,173.282,69.11492076,2020-10-10T02:00:00,11953.44902559
172.001,173.582,172.001,173.582,2.09345771,2020-10-10T03:00:00,360.91954802
174.0,174.777,173.196,174.292,44.43787029,2020-10-10T04:00:00,7734.79514311
173.408,173.408,172.153,172.309,26.25530546,2020-10-10T05:00:00,4531.41432023
172.325,172.828,172.325,172.828,13.01242039,2020-10-10T06:00:00,2248.02035388
172.159,173.314,172.159,173.074,11.18264826,2020-10-10T07:00:00,1925.65863592
172.915,172.915,172.915,172.915,6.90912041,2020-10-10T08:00:00,1194.69055568
172.091,172.091,171.702,171.702,26.42321812,2020-10-10T09:00:00,4540.89267207
171.702,171.702,171.702,171.702,0.0,2020-10-10T10:00:00,0.0
171.702,171.702,171.702,171.702,0.0,2020-10-10T11:00:00,0.0
170.92,171.077,170.05,171.077,43.20064533,2020-10-10T12:00:00,7350.99260202
171.077,171.077,171.077,171.077,0.0,2020-10-10T13:00:00,0.0
171.077,171.077,171.077,171.077,0.0,2020-10-10T14:00:00,0.0
171.999,171.999,171.999,171.999,3.78621723,2020-10-10T15:00:00,651.22557734
172.815,173.724,172.114,172.114,28.22839414,2020-10-10T16:00:00,4874.29032634
172.903,173.214,172.025,172.025,3.5728927,2020-10-10T17:00:00,618.2416914
172.264,172.264,171.757,171.887,10.33620479,2020-10-10T18:00:00,1776.90672777
171.887,171.887,171.887,171.887,0.0,2020-10-10T19:00:00,0.0
171.887,171.887,171.887,171.887,0.0,2020-10-10T20:00:00,0.0
171.818,172.312,171.488,172.196,40.09620591,2020-10-10T21:00:00,6893.50134682
172.505,172.85,171.559,171.562,33.3659573,2020-10-10T22:00:00,5760.31839701
172.051,172.26,169.632,170.961,77.38933652,2020-10-10T23:00:00,13303.49170764
171.597,171.597,170.671,170.671,24.40445089,2020-10-11T00:00:00,4167.45055937
171.902,172.641,171.902,172.641,33.54119517,2020-10-11T01:00:00,5771.4917408
171.981,171.981,171.981,171.981,0.2,2020-10-11T02:00:00,34.3962
170.456,171.971,170.456,171.971,40.03604872,2020-10-11T03:00:00,6857.31542976
171.348,171.348,170.996,170.997,40.59639344,2020-10-11T04:00:00,6948.14391526
170.997,170.997,170.997,170.997,0.0,2020-10-11T05:00:00,0.0
171.573,171.573,171.573,171.573,12.0,2020-10-11T06:00:00,2058.876
171.573,171.573,171.573,171.573,0.0,2020-10-11T07:00:00,0.0
171.541,171.541,171.541,171.541,1.35359894,2020-10-11T08:00:00,232.19771576
171.541,171.541,171.541,171.541,0.0,2020-10-11T09:00:00,0.0
173.019,173.7,172.781,172.887,23.86929523,2020-10-11T10:00:00,4137.34388134
172.887,172.887,172.887,172.887,0.0,2020-10-11T11:00:00,0.0
171.532,171.532,171.532,171.532,0.64348641,2020-10-11T12:00:00,110.37851088
171.26,171.262,171.26,171.262,11.32121124,2020-10-11T13:00:00,1938.89063696
171.38,173.0,171.38,173.0,44.0042777,2020-10-11T14:00:00,7577.10634388
173.0,173.0,173.0,173.0,0.52098687,2020-10-11T15:00:00,90.13072851
172.53,172.968,172.286,172.337,69.8,2020-10-11T16:00:00,12044.35325364
172.658,172.986,172.658,172.986,14.41543981,2020-10-11T17:00:00,2492.87700671
172.815,172.815,172.815,172.815,0.34649908,2020-10-11T18:00:00,59.88023851
171.99,172.067,171.677,172.067,29.67670691,2020-10-11T19:00:00,5101.16653917
172.319,172.319,172.319,172.319,0.16262264,2020-10-11T20:00:00,28.0229707
171.642,171.642,171.642,171.642,6.3709795,2020-10-11T21:00:00,1093.52766333
171.2,171.47,171.2,171.47,36.59540416,2020-10-11T22:00:00,6265.17664521
171.47,171.47,171.47,171.47,0.0,2020-10-11T23:00:00,0.0
171.523,171.523,171.523,171.523,1.05540695,2020-10-12T00:00:00,181.02656628
171.523,171.523,171.523,171.523,0.0,2020-10-12T01:00:00,0.0
171.691,171.691,171.691,171.691,0.25,2020-10-12T02:00:00,42.92275
