Open,High,Low,Close,Volume,Time,Base Value
0.25344,0.25549,0.25273,0.25274,87751.24794777,2020-10-09T22:00:00,22261.57650845
0.25314,0.25399,0.25314,0.25399,34544.76282192,2020-10-09T23:00:00,8760.39419117
0.25338,0.25397,0.25338,0.2535,5436.49944724,2020-10-10T00:00:00,1378.96529377
0.25397,0.25397,0.25349,0.2539,2552.12278376,2020-10-10T01:00:00,647.91027228
0.2548,0.25716,0.25462,0.256,115168.99015967,2020-10-10T02:00:00,29511.66400686
0.25625,0.25848,0.25625,0.25824,90182.53570473,2020-10-10T03:00:00,23240.5872613
0.25806,0.25844,0.25705,0.25705,28646.09453332,2020-10-10T04:00:00,7382.6176587
0.25655,0.25709,0.25625,0.25655,10357.17295265,2020-10-10T05:00:00,2657.49662532
0.25623,0.25652,0.25535,0.25585,23991.87212748,2020-10-10T06:00:00,6147.75465565
0.25649,0.25676,0.25649,0.25676,20037.00582753,2020-10-10T07:00:00,5144.53895835
0.25639,0.25659,0.25588,0.25632,3548.04353434,2020-10-10T08:00:00,909.73207231
0.25678,0.25699,0.25464,0.25509,66905.54592838,2020-10-10T09:00:00,17128.28070536
0.25486,0.25574,0.25372,0.25517,154122.66936441,2020-10-10T10:00:00,39316.48823008
0.25503,0.2556,0.25488,0.25529,3600.78300141,2020-10-10T11:00:00,919.25066062
0.25574,0.25587,0.25467,0.25587,1912.10235128,2020-10-10T12:00:00,487.65788549
0.256,0.26083,0.256,0.25998,107154.16655061,2020-10-10T13:00:00,27799.14984625
0.25759,0.25795,0.25676,0.25778,1117.54551542,2020-10-10T14:00:00,287.85357517
0.25778,0.25937,0.25778,0.2584,12855.34009614,2020-10-10T15:00:00,3325.2486944
0.25761,0.25761,0.256,0.25694,15226.02555585,2020-10-10T16:00:00,3908.43066311
0.25682,0.25682,0.256,0.25611,958.57777385,2020-10-10T17:00:00,245.81009303
0.2563,0.25644,0.2563,0.25632,4976.81588797,2020-10-10T18:00:00,1276.0613597
0.25741,0.25741,0.25665,0.25728,10601.85109396,2020-10-10T19:00:00,2728.06976033
0.25695,0.25695,0.25622,0.2563,28735.1,2020-10-10T20:00:00,7364.8406321
0.25603,0.258,0.25603,0.258,29296.34951041,2020-10-10T21:00:00,7556.60902321
0.25719,0.25768,0.25656,0.25662,4527.96757699,2020-10-10T22:00:00,1164.4719019
0.2565,0.25659,0.25329,0.25498,44420.75642978,2020-10-10T23:00:00,11274.51375417
0.25589,0.25589,0.25442,0.25442,11160.30361388,2020-10-11T00:00:00,2848.44219387
0.25444,0.25596,0.25444,0.25596,4825.47143006,2020-10-11T01:00:00,1233.68388362
0.25592,0.25597,0.25522,0.25522,6362.64407835,2020-10-11T02:00:00,1625.72833373
0.25566,0.25567,0.254,0.25425,6628.27623838,2020-10-11T03:00:00,1685.49546941
0.25494,0.25494,0.2539,0.25456,3368.07824438,2020-10-11T04:00:00,855.80414492
0.25486,0.25496,0.25401,0.25401,28679.22618586,2020-10-11T05:00:00,7309.13183376
0.25569,0.25595,0.25569,0.2558,10584.20966497,2020-10-11T06:00:00,2707.27188927
0.25649,0.25649,0.25585,0.25593,17711.92766249,2020-10-11T07:00:00,4531.92213733
0.25566,0.25566,0.25566,0.25566,1072.16748195,2020-10-11T08:00:00,274.11033842
