Open,High,Low,Close,Volume,Time,Base Value
0.034578,0.03471099,0.034578,0.03471099,41380.0,2020-10-09T22:00:00,1432.4911662
0.03459723,0.03459723,0.034432,0.034432,11380.0,2020-10-09T23:00:00,392.0641774
0.0342103,0.034667,0.03412428,0.0344321,299717.9482773,2020-10-10T00:00:00,10288.70312202
0.0344321,0.035007,0.034107,0.03415596,427446.23681029,2020-10-10T01:00:00,14754.23094394
0.034169,0.035035,0.034169,0.034678,361608.59722526,2020-10-10T02:00:00,12556.41420878
0.034597,0.03481493,0.034597,0.03474794,157165.40228338,2020-10-10T03:00:00,5455.1835434
0.034832,0.035229,0.034832,0.035229,435829.76977592,2020-10-10T04:00:00,15228.69549915
0.03512377,0.03539179,0.034964,0.03509699,268074.34427484,2020-10-10T05:00:00,9429.13667469
0.03491201,0.03531002,0.03491201,0.03531002,80250.478,2020-10-10T06:00:00,2821.30062923
0.03515601,0.03515601,0.035156,0.035156,30883.64653832,2020-10-10T07:00:00,1085.74577618
0.03522865,0.03527799,0.03520701,0.03520705,111574.13501497,2020-10-10T08:00:00,3929.2112083
0.035339,0.03574413,0.035199,0.035199,185792.93697404,2020-10-10T09:00:00,6598.27491866
0.034915,0.034915,0.03432901,0.03432901,219972.52458634,2020-10-10T10:00:00,7605.6683778
0.0345406,0.03461378,0.03441048,0.0344105,245007.2947836,2020-10-10T11:00:00,8445.59710347
0.03445048,0.03449445,0.0343708,0.03449445,59171.5377231,2020-10-10T12:00:00,2039.10127283
0.034528,0.03453199,0.034528,0.03453199,107134.5376612,2020-10-10T13:00:00,3699.56655925
0.034469,0.03454394,0.034469,0.03454394,10320.0,2020-10-10T14:00:00,355.7440608
0.03454035,0.03458003,0.034455,0.034455,85535.42825004,2020-10-10T15:00:00,2953.97751879
0.03443913,0.034445,0.03432901,0.03440406,50710.20761571,2020-10-10T16:00:00,1743.91165152
0.03452782,0.03452782,0.03452782,0.03452782,500.0,2020-10-10T17:00:00,17.26391
0.03455329,0.03455329,0.03436879,0.03436879,76760.9157748,2020-10-10T18:00:00,2646.61968875
0.03460539,0.03460539,0.03460539,0.03460539,440.0,2020-10-10T19:00:00,15.2263716
0.03454772,0.03464499,0.03454772,0.03464499,74286.00934388,2020-10-10T20:00:00,2570.12660411
0.034518,0.03587811,0.03442666,0.0348,53797.25293125,2020-10-10T21:00:00,1863.61021043
0.03461923,0.03461923,0.03461923,0.03461923,1250.0,2020-10-10T22:00:00,43.2740375
0.034594,0.034594,0.034366,0.034366,34146.60094018,2020-10-10T23:00:00,1176.46199325
0.034561,0.035297,0.03431,0.03431,246135.70249181,2020-10-11T00:00:00,8561.50158451
0.03434783,0.03445061,0.03434783,0.03442179,79044.30407366,2020-10-11T01:00:00,2719.22608703
0.0343082,0.03445215,0.03429563,0.03429563,27596.02765281,2020-10-11T02:00:00,946.85013465
0.034342,0.034342,0.03371646,0.033769,166278.06789726,2020-10-11T03:00:00,5663.29960827
0.033818,0.03405043,0.033818,0.034005,126382.4305417,2020-10-11T04:00:00,4291.16221907
0.034151,0.03421204,0.03396502,0.03396502,64998.8057386,2020-10-11T05:00:00,2214.99695569
0.03416298,0.03416298,0.03400501,0.03401101,100869.23044648,2020-10-11T06:00:00,3432.66700434
0.03401101,0.03401101,0.03401101,0.03401101,0.0,2020-10-11T07:00:00,0.0
0.03385202,0.03408043,0.03375901,0.033935,96552.0119162,2020-10-11T08:00:00,3265.78128112
0.033908,0.03399606,0.033908,0.03399603,52402.00118769,2020-10-11T09:00:00,1780.54349541
0.033996,0.03427618,0.033996,0.03427618,244915.58969878,2020-10-11T10:00:00,8357.25138877
0.03423857,0.034426,0.03423857,0.034426,62655.5542963,2020-10-11T11:00:00,2154.2424471
0.034445,0.03445018,0.034231,0.034231,118781.11082254,2020-10-11T12:00:00,4080.41068874
0.03420451,0.03420817,0.03406603,0.03420817,81180.07102657,2020-10-11T13:00:00,2765.82509566
0.03442406,0.03450001,0.03441612,0.0345,87912.99759907,2020-10-11T14:00:00,3026.6409187
0.0345,0.0345,0.0345,0.0345,0.0,2020-10-11T15:00:00,0.0
0.03437761,0.03437761,0.03437761,0.03437761,5000.0,2020-10-11T16:00:00,171.88805
0.03437761,0.03437761,0.03437761,0.03437761,0.0,2020-10-11T17:00:00,0.0
0.03434002,0.03434002,0.03434002,0.03434002,300.0,2020-10-11T18:00:00,10.302006
0.03434002,0.03434003,0.034115,0.03412908,29137.8627,2020-10-11T19:00:00,996.95399401
0.03412906,0.03412906,0.034,0.034,10408.0,2020-10-11T20:00:00,354.01477694
0.03398,0.03398476,0.03385501,0.03391508,40297.45276708,2020-10-11T21:00:00,1366.18476315
0.034008,0.034008,0.034008,0.034008,10000.0,2020-10-11T22:00:00,340.08
0.034008,0.034008,0.034008,0.034008,0.0,2020-10-11T23:00:00,0.0
0.03405401,0.03405402,0.03382301,0.03394126,177845.4862347,2020-10-12T00:00:00,6036.38086244
0.03390074,0.03395098,0.03387637,0.03387637,17284.8399821,2020-10-12T01:00:00,586.36462028
0.03380038,0.03380038,0.03380038,0.03380038,500.0,2020-10-12T02:00:00,16.90019
0.03393559,0.03405391,0.03393559,0.034027,30121.97888423,2020-10-12T03:00:00,1024.58189705
0.03393811,0.03393811,0.03377401,0.03377401,117711.90785413,2020-10-12T04:00:00,3984.7323673
0.03394467,0.03394467,0.033835,0.03394176,19888.03509217,2020-10-12T05:00:00,673.97698277
0.033985,0.033985,0.03384202,0.03384202,47917.27463282,2020-10-12T06:00:00,1623.33172555
0.03392704,0.03392704,0.03378901,0.03378901,121195.09379312,2020-10-12T07:00:00,4098.99527939
0.03387501,0.033968,0.03386202,0.033968,62295.91032228,2020-10-12T08:00:00,2109.88390029
0.03392717,0.03392717,0.0337,0.033832,65218.58201903,2020-10-12T09:00:00,2202.41757816
0.03378,0.03378,0.03340302,0.03344625,163213.39355172,2020-10-12T10:00:00,5463.12859009
0.03335757,0.03335757,0.03315907,0.03315907,90611.84504936,2020-10-12T11:00:00,3013.81287025
0.03328099,0.03328099,0.03328099,0.03328099,5397.69756136,2020-10-12T12:00:00,179.64071856
0.03355672,0.034337,0.03355672,0.034335,269952.28918052,2020-10-12T13:00:00,9159.44729121
0.03432143,0.03438354,0.03407082,0.03407082,109283.76580616,2020-10-12T14:00:00,3734.13229092
0.03409116,0.03587844,0.034,0.034143,247740.07211563,2020-10-12T15:00:00,8555.83155506
0.03418971,0.03438554,0.03418971,0.03432352,17790.39960466,2020-10-12T16:00:00,609.20539763
0.03455583,0.03455583,0.03455583,0.03455583,2888.09150877,2020-10-12T17:00:00,99.8003992
0.03443064,0.034589,0.03443064,0.03447002,14621.45079999,2020-10-12T18:00:00,504.82985656
0.03455484,0.03455486,0.03447601,0.03447601,145879.41202841,2020-10-12T19:00:00,5036.11077641
0.03455486,0.034671,0.03455486,0.034671,167883.42934353,2020-10-12T20:00:00,5805.49521801
0.03470299,0.03475,0.03470298,0.03475,19586.22806032,2020-10-12T21:00:00,680.17071651
0.03474671,0.03474671,0.03459886,0.0346193,12253.5564029,2020-10-12T22:00:00,425.66965744
0.0345865,0.0345865,0.034103,0.034103,173016.39511721,2020-10-12T23:00:00,5942.95537149
0.03410981,0.03410981,0.03387378,0.03387378,426596.23737257,2020-10-13T00:00:00,14491.1173639
0.03384923,0.033936,0.033711,0.033936,66730.0242389,2020-10-13T01:00:00,2254.39417588
0.03409054,0.03412046,0.03398905,0.03402504,66343.72953676,2020-10-13T02:00:00,2257.73786186
0.03399526,0.03409319,0.03399272,0.03409319,13899.10910177,2020-10-13T03:00:00,473.66449939
0.03406662,0.03406662,0.0339,0.0339,52185.0,2020-10-13T04:00:00,1770.5968078
0.0339,0.0339,0.0339,0.0339,0.0,2020-10-13T05:00:00,0.0
0.03404899,0.03404899,0.03393149,0.03393149,31674.9264826,2020-10-13T06:00:00,1074.79806741
0.033731,0.033731,0.03363501,0.03366061,177204.37778566,2020-10-13T07:00:00,5965.68484232
0.03366061,0.034235,0.03364362,0.034235,201445.4203709,2020-10-13T08:00:00,6838.86849739
0.03421001,0.034402,0.03421001,0.034366,151625.24340433,2020-10-13T09:00:00,5201.56756631
0.03430047,0.034871,0.03430047,0.03470397,223425.81174774,2020-10-13T10:00:00,7757.34984381
0.034812,0.035597,0.034812,0.0351666,469897.46156467,2020-10-13T11:00:00,16577.83878281
0.03507939,0.035193,0.03493648,0.03500596,296261.93521383,2020-10-13T12:00:00,10379.52492882
0.03488501,0.03488501,0.033953,0.033953,206237.14913087,2020-10-13T13:00:00,7094.13173169
0.03401743,0.03412726,0.03381102,0.03412726,286290.64485423,2020-10-13T14:00:00,9734.41958764
0.03420055,0.03668451,0.03403899,0.034751,544731.92944936,2020-10-13T15:00:00,18857.83131375
0.03472864,0.03477915,0.034308,0.034308,571154.22022622,2020-10-13T16:00:00,19760.57448706
0.03440341,0.03448411,0.03440341,0.03448411,58367.000259,2020-10-13T17:00:00,2008.06322101
0.03429416,0.03433299,0.03429416,0.03433299,1891.72962414,2020-10-13T18:00:00,64.92609637
0.03423981,0.03434,0.03423981,0.03434,12688.54,2020-10-13T19:00:00,434.4720886
0.03434719,0.03434719,0.03434719,0.03434719,6300.0,2020-10-13T20:00:00,216.387297
0.03439501,0.03439501,0.03434401,0.03434401,60904.812,2020-10-13T21:00:00,2093.26785309
0.03425901,0.03425901,0.033971,0.033971,184508.999,2020-10-13T22:00:00,6295.06733563
0.03406302,0.03406302,0.03401,0.03401,3360.0,2020-10-13T23:00:00,114.3881232
0.0340561,0.03493556,0.0340561,0.03485199,899174.25572276,2020-10-14T00:00:00,31176.40776969
0.03485199,0.03489897,0.03465002,0.03465002,198430.6508517,2020-10-14T01:00:00,6894.51440545
0.03461401,0.03461401,0.03435363,0.03435363,49239.53784824,2020-10-14T02:00:00,1703.54344984
0.03464084,0.03464084,0.034191,0.034191,116653.70310838,2020-10-14T03:00:00,3998.15024232
0.034087,0.034087,0.0339343,0.03402799,57220.51527849,2020-10-14T04:00:00,1948.90479149
0.03403002,0.0341,0.03403002,0.0341,70865.77,2020-10-14T05:00:00,2413.9127704
0.03420201,0.03420201,0.03420201,0.03420201,513.8009352,2020-10-14T06:00:00,17.57302472
0.03435286,0.03435286,0.03435286,0.03435286,200.0,2020-10-14T07:00:00,6.870572
0.03442,0.03442,0.03431001,0.03431001,46758.53489793,2020-10-14T08:00:00,1605.38600549
0.03431102,0.03431102,0.03431102,0.03431102,2960.59072656,2020-10-14T09:00:00,101.58088763
0.034241,0.034241,0.033906,0.033961,64386.01774108,2020-10-14T10:00:00,2194.94403828
0.033985,0.033985,0.033985,0.033985,10000.0,2020-10-14T11:00:00,339.85
0.03388,0.034024,0.03388,0.034024,27065.64687892,2020-10-14T12:00:00,919.22249285
0.034401,0.034401,0.034386,0.034386,10813.68074628,2020-10-14T13:00:00,371.85143134
0.03439413,0.03439413,0.0341381,0.03417118,129998.40108816,2020-10-14T14:00:00,4450.83444142
0.03414601,0.03414601,0.034068,0.034068,14793.60268109,2020-10-14T15:00:00,504.12050964
0.03415581,0.03415581,0.033965,0.033965,46696.48309586,2020-10-14T16:00:00,1586.82857869
0.03386301,0.03403,0.03386301,0.033992,18059.21356716,2020-10-14T17:00:00,613.28617563
0.03407222,0.03407222,0.03407222,0.03407222,2172.81395348,2020-10-14T18:00:00,74.03259503
0.03422199,0.03422199,0.03422199,0.03422199,362.513403,2020-10-14T19:00:00,12.40593005
0.03421131,0.03421131,0.03421131,0.03421131,14585.87806219,2020-10-14T20:00:00,499.001996
0.034455,0.03451291,0.034438,0.03445486,72355.48954441,2020-10-14T21:00:00,2492.35310048
