Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1605078000,460.03,463.10,460.00,462.85,462.26,793.32644376,245,2020-11-11,07:00:00
1605081600,462.95,464.01,459.21,459.86,461.90,1260.75975622,563,2020-11-11,08:00:00
1605085200,460.02,462.70,456.15,459.00,458.12,5647.09722594,850,2020-11-11,09:00:00
1605088800,459.00,464.30,459.00,464.30,461.80,2151.78703789,562,2020-11-11,10:00:00
1605092400,464.30,464.51,460.09,460.86,462.88,3153.51812527,578,2020-11-11,11:00:00
1605096000,460.60,462.65,459.00,461.73,461.26,1691.26262606,471,2020-11-11,12:00:00
1605099600,461.73,463.50,459.50,459.50,461.11,2365.17623415,500,2020-11-11,13:00:00
1605103200,459.50,462.86,459.30,462.86,461.41,1032.25630030,348,2020-11-11,14:00:00
1605106800,462.86,463.38,462.00,462.57,462.44,1581.75097008,406,2020-11-11,15:00:00
1605110400,462.56,474.30,462.56,470.78,469.58,8500.47721016,2077,2020-11-11,16:00:00
1605114000,470.77,472.72,467.42,469.82,470.34,4660.21511306,1111,2020-11-11,17:00:00
1605117600,469.90,476.57,469.80,470.92,473.19,5191.93858848,1353,2020-11-11,18:00:00
1605121200,471.36,472.31,467.20,468.60,470.54,3923.06565207,784,2020-11-11,19:00:00
1605124800,468.61,469.08,460.76,466.33,464.61,6968.96317492,1702,2020-11-11,20:00:00
1605128400,466.32,467.19,462.34,467.19,465.06,2026.46809959,621,2020-11-11,21:00:00
1605132000,467.13,468.65,464.82,466.80,467.14,1612.33295572,509,2020-11-11,22:00:00
1605135600,466.80,466.80,463.11,464.39,464.23,1741.18841655,457,2020-11-11,23:00:00
1605139200,463.69,464.58,451.10,458.92,456.55,10329.08499796,1745,2020-11-12,00:00:00
1605142800,458.75,459.50,457.50,459.50,458.31,1068.41531761,253,2020-11-12,01:00:00
1605146400,458.97,460.06,457.50,458.77,459.08,1682.06123864,320,2020-11-12,02:00:00
1605150000,458.77,459.88,458.13,458.62,459.20,658.81571283,294,2020-11-12,03:00:00
1605153600,459.15,459.83,458.18,459.27,459.28,271.72053628,166,2020-11-12,04:00:00
1605157200,459.27,462.14,459.27,461.20,461.59,912.73305151,361,2020-11-12,05:00:00
1605160800,461.20,464.00,460.83,462.93,462.77,2057.44969755,464,2020-11-12,06:00:00
1605164400,462.74,466.75,462.14,465.77,465.13,1665.50713893,585,2020-11-12,07:00:00
1605168000,465.77,467.00,463.00,463.46,465.30,2047.08643988,612,2020-11-12,08:00:00
1605171600,463.44,468.72,463.25,468.02,465.55,1322.56731804,526,2020-11-12,09:00:00
1605175200,468.14,470.00,457.53,458.34,464.89,7720.64978801,1322,2020-11-12,10:00:00
1605178800,458.01,462.15,456.00,460.73,459.64,2659.89928541,662,2020-11-12,11:00:00
1605182400,460.06,462.72,460.04,461.90,461.54,3208.59045690,478,2020-11-12,12:00:00
1605186000,461.87,462.84,459.39,462.55,461.38,1125.14172539,360,2020-11-12,13:00:00
1605189600,462.85,465.67,455.85,459.39,461.52,6054.91831269,1242,2020-11-12,14:00:00
1605193200,459.62,462.99,457.59,462.03,459.83,2966.45616864,675,2020-11-12,15:00:00
1605196800,461.95,462.03,456.00,458.02,457.75,3283.63765256,757,2020-11-12,16:00:00
1605200400,458.01,459.34,454.05,454.14,456.63,2781.18257269,572,2020-11-12,17:00:00
1605204000,454.14,457.10,452.78,456.65,455.50,6889.13561995,1209,2020-11-12,18:00:00
