Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1605283200,0.105831,0.106588,0.105513,0.106505,0.106073,216221.48840748,55,2020-11-13,16:00:00
1605286800,0.106581,0.106692,0.106165,0.106516,0.106552,146224.91383050,22,2020-11-13,17:00:00
1605290400,0.106687,0.106811,0.106389,0.106524,0.106508,157316.89149308,36,2020-11-13,18:00:00
1605294000,0.106426,0.106805,0.106087,0.106357,0.106318,890141.96092389,51,2020-11-13,19:00:00
1605297600,0.106142,0.106216,0.105776,0.106057,0.105868,303653.16875883,53,2020-11-13,20:00:00
1605301200,0.105877,0.106466,0.105877,0.106304,0.106241,184667.89059211,41,2020-11-13,21:00:00
1605304800,0.106192,0.107287,0.105561,0.107287,0.106244,839601.54150996,95,2020-11-13,22:00:00
1605308400,0.107346,0.107347,0.106314,0.106539,0.106459,406220.61496308,57,2020-11-13,23:00:00
1605312000,0.106577,0.107000,0.106040,0.106952,0.106379,172241.70165606,40,2020-11-14,00:00:00
1605315600,0.106377,0.106904,0.106377,0.106904,0.106708,355000.00000000,28,2020-11-14,01:00:00
1605319200,0.106518,0.107303,0.106267,0.106424,0.106469,224537.76237246,50,2020-11-14,02:00:00
1605322800,0.106326,0.106523,0.106249,0.106489,0.106416,143028.95841677,16,2020-11-14,03:00:00
1605326400,0.106500,0.106500,0.105343,0.105761,0.106049,915915.88612169,122,2020-11-14,04:00:00
1605330000,0.105462,0.105866,0.105261,0.105725,0.105532,13626.19038800,23,2020-11-14,05:00:00
1605333600,0.105797,0.106007,0.105435,0.105818,0.105715,231962.45228430,59,2020-11-14,06:00:00
1605337200,0.105681,0.105681,0.104552,0.104755,0.105102,294244.97460449,105,2020-11-14,07:00:00
1605340800,0.104528,0.104706,0.103540,0.104203,0.104230,413879.70435142,93,2020-11-14,08:00:00
1605344400,0.103994,0.103994,0.102470,0.102761,0.102941,719687.05342761,118,2020-11-14,09:00:00
1605348000,0.102200,0.103028,0.102010,0.102305,0.102435,327959.45802348,50,2020-11-14,10:00:00
1605351600,0.102000,0.102825,0.101700,0.102769,0.101990,244332.50032640,44,2020-11-14,11:00:00
