Epoch Time,Open,High,Low,Close,VWAP,Volume,Count,Date (UTC),Time (UTC)
1605056400,0.20631,0.20632,0.20631,0.20632,0.20631,2423.50290000,2,2020-11-11,01:00:00
1605060000,0.20625,0.20625,0.20625,0.20625,0.20625,533.15238000,1,2020-11-11,02:00:00
1605063600,0.20520,0.20574,0.20520,0.20574,0.20567,6997.94363992,3,2020-11-11,03:00:00
1605067200,0.20478,0.20478,0.20448,0.20448,0.20457,1497.31450168,5,2020-11-11,04:00:00
1605070800,0.20343,0.20343,0.20270,0.20279,0.20288,10000.00000000,8,2020-11-11,05:00:00
1605074400,0.20230,0.20230,0.20165,0.20165,0.20192,10570.00000000,3,2020-11-11,06:00:00
1605078000,0.20165,0.20210,0.20160,0.20209,0.20178,32052.43262356,8,2020-11-11,07:00:00
1605081600,0.20213,0.20213,0.20213,0.20213,0.20213,528.73080000,1,2020-11-11,08:00:00
1605085200,0.20164,0.20254,0.20016,0.20060,0.20163,84231.85485830,25,2020-11-11,09:00:00
1605088800,0.20169,0.20169,0.20169,0.20169,0.20169,428.90133299,1,2020-11-11,10:00:00
1605092400,0.20252,0.20264,0.20181,0.20181,0.20248,19935.39586740,7,2020-11-11,11:00:00
1605096000,0.20051,0.20235,0.20051,0.20235,0.20148,36008.00000000,8,2020-11-11,12:00:00
1605099600,0.20193,0.20210,0.20193,0.20210,0.20205,36400.00000000,10,2020-11-11,13:00:00
1605103200,0.20107,0.20126,0.20107,0.20126,0.20119,18955.19865000,5,2020-11-11,14:00:00
1605106800,0.20289,0.20299,0.20289,0.20299,0.20296,3999.39112356,3,2020-11-11,15:00:00
1605110400,0.20310,0.20505,0.20310,0.20505,0.20354,16119.59294563,11,2020-11-11,16:00:00
1605114000,0.20293,0.20379,0.20293,0.20379,0.20326,4942.62901063,3,2020-11-11,17:00:00
1605117600,0.20367,0.20367,0.20265,0.20265,0.20309,10389.99999997,8,2020-11-11,18:00:00
1605121200,0.20300,0.20310,0.20232,0.20262,0.20275,37207.44374152,10,2020-11-11,19:00:00
1605124800,0.20116,0.20116,0.19951,0.20068,0.19995,58215.55430508,16,2020-11-11,20:00:00
1605128400,0.20193,0.20193,0.20193,0.20193,0.20193,237.91241000,1,2020-11-11,21:00:00
1605132000,0.20193,0.20193,0.20193,0.20193,0.00000,0.00000000,0,2020-11-11,22:00:00
1605135600,0.20027,0.20027,0.19952,0.19952,0.19976,76110.07777777,21,2020-11-11,23:00:00
1605139200,0.19686,0.19841,0.19679,0.19840,0.19798,6850.84661506,8,2020-11-12,00:00:00
1605142800,0.19827,0.19827,0.19827,0.19827,0.19827,8920.00000000,1,2020-11-12,01:00:00
1605146400,0.19878,0.20267,0.19878,0.20243,0.20057,9920.05058683,4,2020-11-12,02:00:00
1605150000,0.20242,0.20242,0.20169,0.20180,0.20203,21798.94553197,9,2020-11-12,03:00:00
1605153600,0.20180,0.20180,0.20180,0.20180,0.00000,0.00000000,0,2020-11-12,04:00:00
1605157200,0.20289,0.20289,0.20288,0.20288,0.20288,2160.00000000,2,2020-11-12,05:00:00
1605160800,0.20288,0.20288,0.20288,0.20288,0.00000,0.00000000,0,2020-11-12,06:00:00
1605164400,0.20288,0.20288,0.20288,0.20288,0.00000,0.00000000,0,2020-11-12,07:00:00
1605168000,0.20288,0.20288,0.20288,0.20288,0.00000,0.00000000,0,2020-11-12,08:00:00
1605171600,0.20463,0.20473,0.20423,0.20423,0.20442,7156.18620815,12,2020-11-12,09:00:00
1605175200,0.20447,0.20629,0.20141,0.20156,0.20365,98083.81754909,34,2020-11-12,10:00:00
1605178800,0.19971,0.20132,0.19949,0.20132,0.20029,3372.70516824,3,2020-11-12,11:00:00
