Time,Open,High,Low,Close,Volume
2020-12-08 01:00:00,30.67,30.67,30.3607,30.4224,1.27495
2020-12-08 00:00:00,30.6308,30.7271,30.6183,30.67,639.99780349
2020-12-07 23:00:00,30.5084,30.6308,30.5084,30.6308,74.92011338
2020-12-07 22:00:00,30.688,30.688,30.4414,30.5084,85.448518
2020-12-07 21:00:00,30.7854,30.9145,30.5774,30.688,438.324947
2020-12-07 20:00:00,30.8722,30.8722,30.6647,30.7854,78.507255
2020-12-07 19:00:00,30.5121,30.9546,30.3873,30.8722,305.04793059
2020-12-07 18:00:00,31.0465,31.0465,30.4377,30.5121,496.096015
2020-12-07 17:00:00,30.3958,31.0465,30.3957,31.0465,1335.565356
2020-12-07 16:00:00,30.6398,30.6398,30.3138,30.3958,838.919632
2020-12-07 15:00:00,30.6673,30.8954,30.5623,30.6398,1254.464203
2020-12-07 14:00:00,30.8,30.9009,30.6181,30.6673,1862.04411734
2020-12-07 13:00:00,32.271,32.6667,30.5345,30.8,21440.723254
2020-12-07 12:00:00,29.9596,33.0,29.817,32.271,39575.865951
2020-12-07 11:00:00,29.8521,29.9596,29.8521,29.9596,10.078017
2020-12-07 10:00:00,29.8467,29.8693,29.817,29.8521,135.51726825
2020-12-07 09:00:00,29.707,29.8467,29.707,29.8467,1.935763
2020-12-07 08:00:00,29.5847,29.707,29.5847,29.707,1.608073
2020-12-07 07:00:00,29.5049,29.5847,29.4263,29.5847,99.77561195
2020-12-07 06:00:00,29.4416,29.5049,29.4416,29.5049,34.27186
2020-12-07 05:00:00,29.5289,29.5289,29.4416,29.4416,1.630314
2020-12-07 04:00:00,29.5032,29.5322,29.5032,29.5289,248.810335
2020-12-07 03:00:00,28.5005,29.5032,28.5001,29.5032,3462.681608
2020-12-07 02:00:00,29.3497,29.5441,28.5001,28.5005,7399.425155
2020-12-07 01:00:00,29.4425,29.5047,29.3497,29.3497,188.2983
2020-12-07 00:00:00,29.4425,29.4425,29.4425,29.4425,0.0
2020-12-06 23:00:00,29.646,29.6748,29.4425,29.4425,1207.190924
2020-12-06 22:00:00,29.6345,29.6803,29.2699,29.646,1858.56336134
2020-12-06 21:00:00,29.3265,29.6364,29.2601,29.6345,2806.104158
2020-12-06 20:00:00,29.3017,29.4515,29.2481,29.3265,600.53995585
2020-12-06 19:00:00,29.2866,29.3607,29.2101,29.3017,959.4265
2020-12-06 18:00:00,29.25,29.2993,29.1486,29.2866,2588.579795
2020-12-06 17:00:00,29.1,29.25,29.1,29.25,772.382873
2020-12-06 16:00:00,29.0687,29.1,28.994,29.1,1288.034061
2020-12-06 15:00:00,29.0,29.1,28.6308,29.0687,5518.524
2020-12-06 14:00:00,29.0,29.2322,28.356,29.0,19367.13007
2020-12-06 13:00:00,29.2044,29.2044,28.8001,29.0,18010.94665721
2020-12-06 12:00:00,29.361,29.3796,28.8142,29.2044,17604.583591
2020-12-06 11:00:00,29.5413,29.6066,29.1048,29.361,29736.186971
2020-12-06 10:00:00,29.53,29.5761,29.3845,29.5413,7155.147213
2020-12-06 09:00:00,29.514,29.6285,29.514,29.53,457.257943
2020-12-06 08:00:00,29.586,29.586,29.45,29.514,1617.42466291
2020-12-06 07:00:00,29.648,29.648,29.586,29.586,180.0
2020-12-06 06:00:00,29.5253,29.648,29.5253,29.648,400.0
2020-12-06 05:00:00,29.6731,29.6731,29.5253,29.5253,685.30164
2020-12-06 04:00:00,29.7864,29.7864,29.485,29.6731,1077.766389
2020-12-06 03:00:00,29.875,29.8888,29.7506,29.7864,54.583529
2020-12-06 02:00:00,29.875,29.875,29.875,29.875,0.0
2020-12-06 01:00:00,29.8981,29.8981,29.875,29.875,1.281367
2020-12-06 00:00:00,29.9529,29.9529,29.8981,29.8981,0.133454
2020-12-05 23:00:00,29.8174,29.9529,29.8174,29.9529,34.264721
2020-12-05 22:00:00,29.9095,29.9095,29.799,29.8174,1500.0
2020-12-05 21:00:00,29.9479,29.9479,29.8655,29.9095,7.285224
2020-12-05 20:00:00,30.0619,30.0619,29.9315,29.9479,49.095276
2020-12-05 19:00:00,29.7772,30.1161,29.7772,30.0619,1571.793489
