Epoch Time,Open,High,Low,Close,Volume,Date (UTC),Time (UTC)
1607076000000,19382.69,19386.79,18903.0,19007.5,118.7520565086,2020-12-04,10:00:00
1607072400000,19412.17,19427.71,19347.53,19382.69,9.7580206911,2020-12-04,09:00:00
1607068800000,19315.89,19463.92,19307.42,19412.17,41.0702132778,2020-12-04,08:00:00
1607065200000,19341.97,19349.91,19271.26,19315.89,35.7820276629,2020-12-04,07:00:00
1607061600000,19211.0,19377.37,19211.0,19341.97,16.8127037788,2020-12-04,06:00:00
1607058000000,19321.82,19337.59,19209.61,19211.0,22.474904043,2020-12-04,05:00:00
1607054400000,19182.37,19348.0,19156.72,19321.82,44.7865445345,2020-12-04,04:00:00
1607050800000,19278.53,19350.53,19150.95,19182.37,55.9755852643,2020-12-04,03:00:00
1607047200000,19355.76,19400.61,19270.94,19278.53,50.2798648054,2020-12-04,02:00:00
1607043600000,19490.91,19521.08,19347.93,19355.76,74.2899307521,2020-12-04,01:00:00
1607040000000,19451.17,19550.0,19404.55,19490.91,32.8421389357,2020-12-04,00:00:00
1607036400000,19494.83,19566.63,19439.23,19451.17,100.6731473415,2020-12-03,23:00:00
1607032800000,19467.74,19500.0,19438.7,19494.83,59.168034249,2020-12-03,22:00:00
1607029200000,19396.87,19487.58,19356.29,19467.74,45.1741017993,2020-12-03,21:00:00
1607025600000,19444.17,19471.48,19331.13,19396.87,157.4407806824,2020-12-03,20:00:00
1607022000000,19400.42,19454.49,19359.6,19444.17,78.4970735599,2020-12-03,19:00:00
1607018400000,19317.8,19436.21,19317.8,19400.42,70.5418652716,2020-12-03,18:00:00
1607014800000,19390.21,19409.03,19212.62,19317.8,131.2130723313,2020-12-03,17:00:00
1607011200000,19540.72,19621.51,19275.97,19390.21,234.4620059982,2020-12-03,16:00:00
1607007600000,19379.5,19560.11,19327.93,19540.72,71.0923259174,2020-12-03,15:00:00
1607004000000,19312.27,19412.42,19299.01,19379.5,34.6736098603,2020-12-03,14:00:00
1607000400000,19343.55,19399.8,19281.78,19312.27,42.6389570624,2020-12-03,13:00:00
1606996800000,19404.81,19431.74,19254.89,19343.55,47.7645466327,2020-12-03,12:00:00
1606993200000,19370.24,19459.85,19307.62,19404.81,58.3259529809,2020-12-03,11:00:00
1606989600000,19367.18,19437.93,19274.39,19370.24,39.3757869659,2020-12-03,10:00:00
1606986000000,19400.0,19440.0,19144.43,19367.18,25.5848106298,2020-12-03,09:00:00
